subject_id,experiment_name,hotspot_idx,current_hotspot_idx,realization_id,sequence_idx,score_type,sequence_length,score
33764.44,RANDOM,5999,5566,89250,0,nrmsd_norm,5,0.6664280342807394
33764.44,RANDOM,5999,6054,89250,0,nrmsd_norm,6,0.6553379593986227
33764.44,RANDOM,5999,12184,89250,0,nrmsd_norm,7,0.6283002774776548
33764.44,RANDOM,5999,9447,89250,0,nrmsd_norm,8,0.6177344796133133
33764.44,RANDOM,5999,389,89250,0,nrmsd_norm,9,0.5701295138996326
33764.44,RANDOM,5999,389,89250,0,nrmsd_norm,10,0.537746839740167
33764.44,RANDOM,5999,2502,89250,0,nrmsd_norm,11,0.518743765173809
33764.44,RANDOM,5999,2502,89250,0,nrmsd_norm,12,0.5172843036935963
33764.44,RANDOM,5999,7519,89250,0,nrmsd_norm,13,0.504709569458686
33764.44,RANDOM,5999,7519,89250,0,nrmsd_norm,14,0.501664574072005
33764.44,RANDOM,5999,2237,89250,0,nrmsd_norm,15,0.48386814458449734
33764.44,RANDOM,5999,2237,89250,0,nrmsd_norm,16,0.48678429780662225
33764.44,RANDOM,5999,2237,89250,0,nrmsd_norm,17,0.49102552947511346
33764.44,RANDOM,5999,5999,89250,0,nrmsd_norm,18,0.47871119605316936
33764.44,RANDOM,5999,5999,89250,0,nrmsd_norm,19,0.4838669794001209
33764.44,RANDOM,5999,5999,89250,0,nrmsd_norm,20,0.48810640908291036
33764.44,RANDOM,5999,5999,89250,0,nrmsd_norm,22,0.47312084956252926
33764.44,RANDOM,5999,6628,89250,0,nrmsd_norm,24,0.46033682407264875
33764.44,RANDOM,5999,6628,89250,0,nrmsd_norm,26,0.4567546577049991
33764.44,RANDOM,5999,2237,89250,0,nrmsd_norm,28,0.44824272361990486
33764.44,RANDOM,5999,10645,89250,0,nrmsd_norm,30,0.42050164144409063
33764.44,RANDOM,5999,6002,89250,0,nrmsd_norm,32,0.42184130475790466
33764.44,RANDOM,5999,6278,89250,0,nrmsd_norm,34,0.42122501120334244
33764.44,RANDOM,5999,6278,89250,0,nrmsd_norm,36,0.41792264262689366
33764.44,RANDOM,5999,6002,89250,0,nrmsd_norm,38,0.4113203492685193
33764.44,RANDOM,5999,6002,89250,0,nrmsd_norm,40,0.42099274165986555
33764.44,RANDOM,5999,6002,89250,0,nrmsd_norm,42,0.4093484420248735
